ANVENDELSE,TID,Xt
010000,1982,2.622497
010000,1983,2.609892
010000,1984,2.62638
010000,1985,2.613536
010000,1986,2.604464
010000,1987,2.587243
010000,1988,2.569828
010000,1989,2.555043
010000,1990,2.571041
010000,1991,2.557627
010000,1992,2.548395
010000,1993,2.326833
010000,1994,2.287686
010000,1995,2.301522
010000,1996,2.332482
010000,1997,2.373014
010000,1998,2.37405
010000,1999,2.301485
010000,2000,2.289403
010000,2001,2.30001
010000,2002,2.28324
010000,2003,2.273478
010000,2004,2.27579
010000,2005,2.338676
010000,2006,2.355327
010000,2007,2.316136
010000,2008,2.414401
010000,2009,2.394447
010000,2010,2.411801
010000,2011,2.428236
010000,2012,2.419649
010000,2013,2.406094
010000,2014,2.437626
010000,2015,2.351631
010000,2016,2.365537
010000,2017,2.359346
010000,2018,2.343419
010000,2019,2.342263
010000,2020,2.315855
010000,2021,2.307046
010000,2022,2.289825
010000,2023,2.226855
010000,2024,2.187941
100010,1982,0.0
100010,1983,0.0
100010,1984,0.0
100010,1985,0.0
100010,1986,0.0
100010,1987,0.0
100010,1988,0.0
100010,1989,0.0
100010,1990,0.0
100010,1991,0.0
100010,1992,0.0
100010,1993,0.0
100010,1994,0.0
100010,1995,0.0
100010,1996,0.0
100010,1997,0.0
100010,1998,0.0
100010,1999,0.0
100010,2000,0.0
100010,2001,0.0
100010,2002,0.0
100010,2003,0.0
100010,2004,0.0
100010,2005,0.0
100010,2006,0.0
100010,2007,0.0
100010,2008,0.0
100010,2009,0.0
100010,2010,0.0
100010,2011,0.0
100010,2012,0.0
100010,2013,0.0
100010,2014,0.0
100010,2015,0.0
100010,2016,0.0
100010,2017,0.0
100010,2018,0.0
100010,2019,0.0
100010,2020,0.0
100010,2021,0.0
100010,2022,0.0
100010,2023,0.0
100010,2024,0.0
100030,1982,0.0
100030,1983,0.0
100030,1984,0.0
100030,1985,0.0
100030,1986,0.0
100030,1987,0.0
100030,1988,0.0
100030,1989,0.0
100030,1990,0.0
100030,1991,0.0
100030,1992,0.0
100030,1993,0.0
100030,1994,0.0
100030,1995,0.0
100030,1996,0.0
100030,1997,0.0
100030,1998,0.0
100030,1999,0.0
100030,2000,0.0
100030,2001,0.0
100030,2002,0.0
100030,2003,0.0
100030,2004,0.0
100030,2005,0.0
100030,2006,0.0
100030,2007,0.0
100030,2008,0.0
100030,2009,0.0
100030,2010,0.0
100030,2011,0.0
100030,2012,0.0
100030,2013,0.0
100030,2014,0.0
100030,2015,0.0
100030,2016,0.0
100030,2017,0.0
100030,2018,0.0
100030,2019,0.0
100030,2020,0.0
100030,2021,0.0
100030,2022,0.0
100030,2023,0.0
100030,2024,0.0
100040x100050,1982,0.0
100040x100050,1983,0.0
100040x100050,1984,0.0
100040x100050,1985,0.0
100040x100050,1986,0.0
100040x100050,1987,0.0
100040x100050,1988,0.0
100040x100050,1989,0.0
100040x100050,1990,0.0
100040x100050,1991,0.0
100040x100050,1992,0.0
100040x100050,1993,0.0
100040x100050,1994,0.0
100040x100050,1995,0.0
100040x100050,1996,0.0
100040x100050,1997,0.0
100040x100050,1998,0.0
100040x100050,1999,0.0
100040x100050,2000,0.0
100040x100050,2001,0.0
100040x100050,2002,0.0
100040x100050,2003,0.0
100040x100050,2004,0.0
100040x100050,2005,0.0
100040x100050,2006,0.0
100040x100050,2007,0.0
100040x100050,2008,0.0
100040x100050,2009,0.0
100040x100050,2010,0.0
100040x100050,2011,0.0
100040x100050,2012,0.0
100040x100050,2013,0.0
100040x100050,2014,0.0
100040x100050,2015,0.0
100040x100050,2016,0.0
100040x100050,2017,0.0
100040x100050,2018,0.0
100040x100050,2019,0.0
100040x100050,2020,0.0
100040x100050,2021,0.0
100040x100050,2022,0.0
100040x100050,2023,0.0
100040x100050,2024,0.0
REST,1982,0.0
REST,1983,0.0
REST,1984,0.0
REST,1985,0.0
REST,1986,0.0
REST,1987,0.0
REST,1988,0.0
REST,1989,0.0
REST,1990,0.0
REST,1991,0.0
REST,1992,0.0
REST,1993,0.0
REST,1994,0.0
REST,1995,0.0
REST,1996,0.0
REST,1997,0.0
REST,1998,0.0
REST,1999,0.0
REST,2000,0.0
REST,2001,0.0
REST,2002,0.0
REST,2003,0.0
REST,2004,0.0
REST,2005,0.0
REST,2006,0.0
REST,2007,0.0
REST,2008,0.0
REST,2009,0.0
REST,2010,0.0
REST,2011,0.0
REST,2012,0.0
REST,2013,0.0
REST,2014,0.0
REST,2015,0.0
REST,2016,0.0
REST,2017,0.0
REST,2018,0.0
REST,2019,0.0
REST,2020,0.0
REST,2021,0.0
REST,2022,0.0
REST,2023,0.0
REST,2024,0.0
