ANVENDELSE,TID,TIMELOEN_KR
01000,1966,4.961465856150742
01000,1967,5.326186276671321
01000,1968,5.644206084281077
01000,1969,6.012332650485236
01000,1970,5.843746132059673
01000,1971,6.860279967100272
01000,1972,7.0786710899408005
01000,1973,7.972720231543761
01000,1974,9.640369336482715
01000,1975,11.505816989932825
01000,1976,12.853657456998434
01000,1977,14.346345507213979
01000,1978,16.749786014483693
01000,1979,19.344179113318
01000,1980,22.662031202008112
01000,1981,25.41239116915423
01000,1982,28.23424381633438
01000,1983,32.00441304274218
01000,1984,35.98272495463004
01000,1985,39.72670200411631
01000,1986,43.97596448977664
01000,1987,49.24480896513823
01000,1988,54.20625447278521
01000,1989,57.80975101458813
01000,1990,61.15090804266359
01000,1991,62.96467185061076
01000,1992,68.24304726938962
01000,1993,70.47278483110684
01000,1994,72.40197125400465
01000,1995,73.66841896620072
01000,1996,77.60292760823279
01000,1997,82.11214838255977
01000,1998,85.65442745217563
01000,1999,87.36362446231531
01000,2000,90.1477119846667
01000,2001,91.29734131122943
01000,2002,97.14543015199132
01000,2003,103.01561949283025
01000,2004,108.3957151617354
01000,2005,109.31073026754261
01000,2006,113.52155257642266
01000,2007,120.93851539174302
01000,2008,127.13192964785186
01000,2009,132.90638670166229
01000,2010,140.4118988187661
01000,2011,143.61531569201364
01000,2012,146.40799646565054
01000,2013,150.45915068768196
01000,2014,156.52284047522144
01000,2015,175.97839095083793
01000,2016,179.4635236129756
01000,2017,182.14425156462323
01000,2018,189.6717047587715
01000,2019,197.7102564102564
01000,2020,205.6869386807061
01000,2021,203.39063969425936
01000,2022,217.89114626587534
10120,1966,10.64216620739119
10120,1967,11.953693105473219
10120,1968,13.270209358256686
10120,1969,14.817641011362298
10120,1970,16.77080404419092
10120,1971,19.717799939218622
10120,1972,22.357043422547108
10120,1973,26.96159627600252
10120,1974,32.74029792851468
10120,1975,40.09808220329486
10120,1976,44.334283803287924
10120,1977,49.17151813703538
10120,1978,54.38138633547531
10120,1979,60.0861464332554
10120,1980,65.50264861683343
10120,1981,72.56117855977965
10120,1982,78.85041699131388
10120,1983,85.20495630142055
10120,1984,90.68167540009502
10120,1985,95.7264969564404
10120,1986,100.14817592430347
10120,1987,113.00424014647778
10120,1988,118.64511710416996
10120,1989,124.33357454092747
10120,1990,131.58691682680424
10120,1991,136.46219862365453
10120,1992,140.12418236924
10120,1993,142.07810361275872
10120,1994,146.61712435299216
10120,1995,147.38063091219735
10120,1996,152.68933051709837
10120,1997,157.8655409303057
