ANVENDELSE,TID,TIMER
01000,2010,98594
10120,2010,79289
01000,1972,463150
10120,1972,187292
01000,1991,224577
10120,1991,129100
01000,1989,239832
10120,1989,133495
01000,1982,314708
10120,1982,146121
01000,1984,297005
10120,1984,147552
01000,1983,305717
10120,1983,147457
01000,2019,85014
10120,2019,65519
01000,2014,95678
10120,2014,66267
01000,1985,286292
10120,1985,145082
01000,2015,97467
10120,2015,64949
01000,2000,149020
10120,2000,117301
01000,2011,97135
10120,2011,76719
01000,1973,454509
10120,1973,179902
01000,2017,92464
10120,2017,67126
01000,1974,433263
10120,1974,174334
01000,1980,342439
10120,1980,147911
01000,1971,472538
10120,1971,194114
01000,2012,95702
10120,2012,73253
01000,1978,380021
10120,1978,149102
01000,1977,393844
10120,1977,152588
01000,1994,187306
10120,1994,121438
01000,2004,133301
10120,2004,106601
01000,2021,86997
10120,2021,70240
01000,2007,114771
10120,2007,90557
01000,1981,325525
10120,1981,145985
01000,1970,505492
10120,1970,202642
01000,1966,630077
10120,1966,232125
01000,2013,94814
10120,2013,70479
01000,2006,117953
10120,2006,95156
01000,1975,415440
10120,1975,156330
01000,2016,91694
10120,2016,65699
01000,1969,532920
10120,1969,204420
01000,1986,277373
10120,1986,148494
01000,2022,84490
10120,2022,69952
01000,2018,89982
10120,2018,65335
01000,2003,134391
10120,2003,110661
01000,1987,272733
10120,1987,140336
01000,2009,101938
10120,2009,83220
01000,1996,173049
10120,1996,120697
01000,1979,361600
01000,1990,229640
10120,1990,129957
01000,1968,561953
10120,1968,210205
10120,1979,150151
01000,1976,408086
10120,1976,155216
01000,1988,247527
10120,1988,138844
01000,2001,145343
10120,2001,117036
01000,1993,205929
10120,1993,124695
01000,1992,216746
10120,1992,127466
01000,2005,125588
10120,2005,99250
01000,2020,85490
10120,2020,70152
01000,1999,152280
10120,1999,116399
01000,1995,180889
10120,1995,123972
01000,2002,145637
10120,2002,116729
01000,1997,162332
10120,1997,117906
01000,1967,595974
10120,1967,220326
01000,1998,160810
10120,1998,115140
01000,2008,109397
10120,2008,89332
REST,1966,3742182
REST,1967,3720867
REST,1968,3695254
REST,1969,3716009
REST,1970,3741101
REST,1971,3694889
REST,1972,3653882
REST,1973,3614336
REST,1974,3566698
REST,1975,3379346
REST,1976,3472797
REST,1977,3418194
REST,1978,3410781
REST,1979,3444395
REST,1980,3477283
REST,1981,3356998
REST,1982,3400968
REST,1983,3394252
REST,1984,3445565
REST,1985,3514700
REST,1986,3625889
REST,1987,3568130
REST,1988,3517672
REST,1989,3475337
REST,1990,3434810
REST,1991,3395609
REST,1992,3413744
REST,1993,3357281
REST,1994,3342697
REST,1995,3401971
REST,1996,3431762
REST,1997,3539072
REST,1998,3632582
REST,1999,3714509
REST,2000,3772557
REST,2001,3824171
REST,2002,3809762
REST,2003,3776588
REST,2004,3761275
REST,2005,3814540
REST,2006,3929729
REST,2007,3967488
REST,2008,4018058
REST,2009,3861885
REST,2010,3790107
REST,2011,3830075
REST,2012,3769454
REST,2013,3781533
REST,2014,3776795
REST,2015,3815080
REST,2016,3899913
REST,2017,3935591
REST,2018,3934302
REST,2019,3972380
REST,2020,3827066
REST,2021,4062261
REST,2022,4225398
Privat,1966,4005275
Privat,1967,3893867
Privat,1968,3812789
Privat,1969,3762969
Privat,1970,3723123
Privat,1971,3604532
Privat,1972,3514151
Privat,1973,3435632
Privat,1974,3343361
Privat,1975,3118256
Privat,1976,3174012
Privat,1977,3109710
Privat,1978,3055256
Privat,1979,3029475
Privat,1980,2953509
Privat,1981,2789238
Privat,1982,2784644
Privat,1983,2764548
Privat,1984,2820456
Privat,1985,2867423
Privat,1986,2957498
Privat,1987,2898773
Privat,1988,2814231
Privat,1989,2765429
Privat,1990,2727540
Privat,1991,2699070
Privat,1992,2699990
Privat,1993,2627877
Privat,1994,2599036
Privat,1995,2654040
Privat,1996,2676015
Privat,1997,2731916
Privat,1998,2792281
Privat,1999,2859613
Privat,2000,2929856
Privat,2001,2953905
Privat,2002,2933736
Privat,2003,2869431
Privat,2004,2852465
Privat,2005,2866743
Privat,2006,2937490
Privat,2007,2976606
Privat,2008,3006822
Privat,2009,2803280
Privat,2010,2719164
Privat,2011,2768068
Privat,2012,2722961
Privat,2013,2725009
Privat,2014,2724198
Privat,2015,2766634
Privat,2016,2847098
Privat,2017,2885301
Privat,2018,2877876
Privat,2019,2901013
Privat,2020,2776337
Privat,2021,2946767
Privat,2022,3099813
