TID,INDHOLD
1982,45825.5020312678
1983,51810.607598652496
1984,57156.98728808499
1985,67819.58918137463
1986,66007.4784651527
1987,65298.18364355561
1988,65307.7525450274
1989,66502.46216427033
1990,61563.378888700885
1991,64213.928118164884
1992,62699.54984904675
1993,61858.598514510806
1994,63305.492682264005
1995,71828.40884189999
1996,73542.95183307363
1997,83973.52256550605
1998,91592.73840300647
1999,99478.8081054535
2000,105976.18724440964
2001,117087.74105977552
2002,118049.70511474785
2003,119573.4167302717
2004,132817.64552336207
2005,148000.0
2006,185000.0
2007,219990.0
2008,257325.0
2009,210010.0
2010,171596.0
2011,130209.0
2012,130729.0
2013,117152.0
2014,128287.0
2015,139866.0
2016,130916.0
2017,128897.0
2018,132099.0
2019,131251.0
2020,130383.0
2021,135451.0
2022,147610.0
2023,159603.0
2024,167583.0
2025,174500.0
