TILGANG1,TILGANG2,ANVENDELSE,PRISENHED,TID,INDHOLD
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,570.125
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,570.071
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1987,1275.581
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1987,1380.951
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,2964.08
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,2534.192
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1980,1622.079
Import inkl. told,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1980,1548.359
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Løbende priser,1967,7433.511
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Foregående års priser,1967,7492.061
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1967,883.594
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1967,848.322
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1967,2956.041
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1967,2971.006
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Løbende priser,1988,100542.204
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Anvendelse, i alt-(Anvendelse)",Foregående års priser,1988,99318.194
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1988,2.327
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)","Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1988,2.359
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1980,6640.205
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1980,5952.66
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1980,0.071
Import inkl. told,01000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1980,0.063
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Løbende priser,1988,45831.572
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",Eksport - (Anvendelse),Foregående års priser,1988,45686.904
Dansk produktion,"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,2529.028
