TID,INDHOLD
1968,0.0963
1969,0.1057
1970,0.1247
1971,0.1223
1972,0.1218
1973,0.1343
1974,0.1714
1975,0.1398
1976,0.1627
1977,0.1699
1978,0.1797
1979,0.1834
1980,0.1976
1981,0.2002
1982,0.2113
1983,0.1527
1984,0.1505
1985,0.1236
1986,0.1137
1987,0.1272
1988,0.114
1989,0.1016
1990,0.1088
1991,0.1006
1992,0.1007
1993,0.0807
1994,0.0861
1995,0.0938
1996,0.0844
1997,0.0765
1998,0.0652
1999,0.0687
2000,0.06955
2001,0.05715
2002,0.0506
2003,0.0396
2004,0.0382
2005,0.0336
2006,0.0427
2007,0.0492
2008,0.0548
2009,0.04035
2010,0.0298
2011,0.0307
2012,0.02071
2013,0.01854
2014,0.01635
2015,0.01309
2016,0.011365
2017,0.00853
2018,0.008005
2019,0.00375
2020,0.00306
2021,0.004645
2022,0.022945
