ANVENDELSE,TID,TIMELOEN_KR
010000,1966,1.3640237621750992
010000,1967,1.4592599677167124
010000,1968,1.537552072860186
010000,1969,1.6356563836973654
010000,1970,1.5878015873643894
010000,1971,1.8180675416580254
010000,1972,1.9027205009176293
010000,1973,2.151539353456147
010000,1974,2.5905281549543813
010000,1975,3.075695647987676
010000,1976,3.5579804256945837
010000,1977,3.9107819339637016
010000,1978,4.5829730462263925
010000,1979,5.419098451327433
010000,1980,6.248356641620843
010000,1981,7.029675140158207
010000,1982,7.9288928149268525
010000,1983,9.275319985476765
010000,1984,10.547728152724702
010000,1985,12.06834630377377
010000,1986,13.42998777819038
010000,1987,15.113275621211955
010000,1988,16.218275178061383
010000,1989,17.58068981620468
010000,1990,18.47522208674447
010000,1991,19.578523179132326
010000,1992,20.581916159929133
010000,1993,20.647431881862193
010000,1994,22.079767866485856
010000,1995,23.628678360762674
010000,1996,25.274350039584164
010000,1997,28.77152379074982
010000,1998,29.70926559293576
010000,1999,30.67594562647754
010000,2000,32.82448664608777
010000,2001,34.329076735721706
010000,2002,36.29421094914067
010000,2003,41.32168820828776
010000,2004,42.434205294783986
010000,2005,45.708610695289366
010000,2006,48.67395488033369
010000,2007,51.17476540241002
010000,2008,59.99536550362441
010000,2009,65.570523259236
010000,2010,72.45894273485202
010000,2011,74.2553353580069
010000,2012,76.18105159766776
010000,2013,79.03493155019302
010000,2014,84.40925813666674
010000,2015,90.82295546184862
010000,2016,97.68190939428969
010000,2017,102.92497620695622
010000,2018,108.92073970349627
010000,2019,117.00194085680006
010000,2020,124.30237454673063
010000,2021,116.84143131372346
010000,2022,127.31764705882352
"10120 Føde-, drikke- og tobaksvareindustri",1966,
"10120 Føde-, drikke- og tobaksvareindustri",1967,
"10120 Føde-, drikke- og tobaksvareindustri",1968,
"10120 Føde-, drikke- og tobaksvareindustri",1969,
"10120 Føde-, drikke- og tobaksvareindustri",1970,
"10120 Føde-, drikke- og tobaksvareindustri",1971,
"10120 Føde-, drikke- og tobaksvareindustri",1972,
"10120 Føde-, drikke- og tobaksvareindustri",1973,
"10120 Føde-, drikke- og tobaksvareindustri",1974,
"10120 Føde-, drikke- og tobaksvareindustri",1975,
"10120 Føde-, drikke- og tobaksvareindustri",1976,
"10120 Føde-, drikke- og tobaksvareindustri",1977,
"10120 Føde-, drikke- og tobaksvareindustri",1978,
"10120 Føde-, drikke- og tobaksvareindustri",1979,
"10120 Føde-, drikke- og tobaksvareindustri",1980,
"10120 Føde-, drikke- og tobaksvareindustri",1981,
"10120 Føde-, drikke- og tobaksvareindustri",1982,
"10120 Føde-, drikke- og tobaksvareindustri",1983,
"10120 Føde-, drikke- og tobaksvareindustri",1984,
"10120 Føde-, drikke- og tobaksvareindustri",1985,
"10120 Føde-, drikke- og tobaksvareindustri",1986,
"10120 Føde-, drikke- og tobaksvareindustri",1987,
"10120 Føde-, drikke- og tobaksvareindustri",1988,
"10120 Føde-, drikke- og tobaksvareindustri",1989,
"10120 Føde-, drikke- og tobaksvareindustri",1990,
"10120 Føde-, drikke- og tobaksvareindustri",1991,
"10120 Føde-, drikke- og tobaksvareindustri",1992,
"10120 Føde-, drikke- og tobaksvareindustri",1993,
"10120 Føde-, drikke- og tobaksvareindustri",1994,
"10120 Føde-, drikke- og tobaksvareindustri",1995,
"10120 Føde-, drikke- og tobaksvareindustri",1996,
"10120 Føde-, drikke- og tobaksvareindustri",1997,
"10120 Føde-, drikke- og tobaksvareindustri",1998,
"10120 Føde-, drikke- og tobaksvareindustri",1999,
"10120 Føde-, drikke- og tobaksvareindustri",2000,
"10120 Føde-, drikke- og tobaksvareindustri",2001,
"10120 Føde-, drikke- og tobaksvareindustri",2002,
"10120 Føde-, drikke- og tobaksvareindustri",2003,
"10120 Føde-, drikke- og tobaksvareindustri",2004,
"10120 Føde-, drikke- og tobaksvareindustri",2005,
"10120 Føde-, drikke- og tobaksvareindustri",2006,
"10120 Føde-, drikke- og tobaksvareindustri",2007,
"10120 Føde-, drikke- og tobaksvareindustri",2008,
"10120 Føde-, drikke- og tobaksvareindustri",2009,
"10120 Føde-, drikke- og tobaksvareindustri",2010,
"10120 Føde-, drikke- og tobaksvareindustri",2011,
"10120 Føde-, drikke- og tobaksvareindustri",2012,
"10120 Føde-, drikke- og tobaksvareindustri",2013,
"10120 Føde-, drikke- og tobaksvareindustri",2014,
"10120 Føde-, drikke- og tobaksvareindustri",2015,
"10120 Føde-, drikke- og tobaksvareindustri",2016,
"10120 Føde-, drikke- og tobaksvareindustri",2017,
"10120 Føde-, drikke- og tobaksvareindustri",2018,
"10120 Føde-, drikke- og tobaksvareindustri",2019,
"10120 Føde-, drikke- og tobaksvareindustri",2020,
"10120 Føde-, drikke- og tobaksvareindustri",2021,
"10120 Føde-, drikke- og tobaksvareindustri",2022,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1966,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1967,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1968,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1969,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1970,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1971,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1972,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1973,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1974,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1975,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1976,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1977,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1978,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1979,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1980,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1981,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1982,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1983,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1984,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1985,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1986,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1987,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1988,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1989,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1990,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1991,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1992,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1993,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1994,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1995,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1996,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1997,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1998,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",1999,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2000,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2001,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2002,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2003,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2004,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2005,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2006,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2007,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2008,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2009,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2010,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2011,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2012,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2013,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2014,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2015,
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2016,
