TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1998,-754.36
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1998,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1998,-27.14
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1998,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1998,-102.302
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1998,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2002,5285.78
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2002,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,2002,6411.857
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,2002,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,2002,3222.28
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,2002,
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2018,-7111.757
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2018,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,2018,98.265
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,2018,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,2018,102.22
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,2018,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1998,4777.547
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1998,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1998,5862.68
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1998,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1998,2594.018
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1998,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2002,9.919
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2002,9.663
Moms,100010 Slagterier- (Anvendelse),Løbende priser,2002,5.93
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,2002,5.777
Moms,100030 Mejerier- (Anvendelse),Løbende priser,2002,3.31
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,2002,2.121
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2002,-698.666
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2002,-1151.114
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,2002,70.126
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,2002,64.447
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,2002,161.926
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,2002,139.334
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,2139.681
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1980,2409.465
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1980,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1980,1102.141
