BEHOLD,BRANCHE,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1966,222779.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1966,34654.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1966,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1966,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1967,224430.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1967,36904.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1967,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1967,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1968,224282.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1968,38025.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1968,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1968,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1969,225092.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1969,39447.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1969,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1969,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1970,225532.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1970,40346.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1970,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1970,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1971,226385.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1971,41710.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1971,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1971,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1972,229269.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1972,42921.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1972,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1972,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1973,235171.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1973,44127.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1973,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1973,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1974,240479.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1974,46869.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1974,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1974,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1975,244016.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1975,48514.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1975,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1975,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1976,249923.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1976,50580.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1976,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1976,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1977,257543.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1977,52444.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1977,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1977,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1978,265709.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1978,54643.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1978,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1978,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1979,273950.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1979,57092.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1979,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1979,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1980,274839.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1980,58318.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1980,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1980,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1981,271574.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1981,59085.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1981,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1981,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1982,269172.0
