ANVENDELSE,TID,TIMER
010000,1966,630077
100010,1966,60113
100030,1966,30437
010000,1967,595974
100010,1967,54768
100030,1967,29463
010000,1968,561953
100010,1968,52525
100030,1968,28350
010000,1969,532920
100010,1969,51564
100030,1969,27073
010000,1970,505492
100010,1970,52431
100030,1970,26101
010000,1971,472538
100010,1971,51104
100030,1971,24744
010000,1972,463150
100010,1972,49589
100030,1972,23556
010000,1973,454509
100010,1973,48535
100030,1973,23343
010000,1974,433263
100010,1974,47576
100030,1974,22351
010000,1975,415440
100010,1975,40386
100030,1975,20109
010000,1976,408086
100010,1976,39183
100030,1976,20295
010000,1977,393844
100010,1977,38233
100030,1977,19826
010000,1978,380021
100010,1978,39174
100030,1978,18797
010000,1979,361600
100010,1979,40916
100030,1979,18407
010000,1980,342439
100010,1980,41428
100030,1980,17839
010000,1981,325525
100010,1981,42756
100030,1981,17053
010000,1982,314708
100010,1982,43379
100030,1982,16284
010000,1983,305717
100010,1983,44495
100030,1983,16978
010000,1984,297005
100010,1984,44335
100030,1984,17590
010000,1985,286292
100010,1985,44751
100030,1985,16902
010000,1986,277373
100010,1986,46152
100030,1986,16768
010000,1987,272733
100010,1987,43038
100030,1987,15848
010000,1988,247527
100010,1988,42100
100030,1988,18170
010000,1989,239832
100010,1989,41281
100030,1989,15973
010000,1990,229640
100010,1990,39836
100030,1990,16289
010000,1991,224577
100010,1991,38302
100030,1991,16259
010000,1992,216746
100010,1992,38505
100030,1992,16370
010000,1993,205929
100010,1993,38186
100030,1993,14901
010000,1994,187306
100010,1994,40237
100030,1994,13821
010000,1995,180889
100010,1995,37880
100030,1995,14446
010000,1996,173049
100010,1996,36126
100030,1996,13956
010000,1997,162332
100010,1997,35616
100030,1997,13415
010000,1998,160810
100010,1998,35720
100030,1998,13249
010000,1999,152280
100010,1999,35049
100030,1999,13141
010000,2000,149020
100010,2000,34153
100030,2000,14216
010000,2001,145343
100010,2001,34124
100030,2001,14454
010000,2002,145637
100010,2002,33902
100030,2002,15128
010000,2003,134391
100010,2003,33605
100030,2003,14794
010000,2004,133301
100010,2004,32206
100030,2004,14357
010000,2005,125588
100010,2005,27478
100030,2005,13891
010000,2006,117953
100010,2006,26004
100030,2006,12451
010000,2007,114771
100010,2007,25367
100030,2007,11424
010000,2008,109397
100010,2008,25017
100030,2008,11828
010000,2009,101938
100010,2009,24708
100030,2009,11857
010000,2010,98594
100010,2010,23721
100030,2010,11852
010000,2011,97135
100010,2011,23256
100030,2011,11872
010000,2012,95702
100010,2012,22864
100030,2012,11746
010000,2013,94814
100010,2013,20865
100030,2013,10482
010000,2014,95678
100010,2014,19635
100030,2014,8693
010000,2015,97467
100010,2015,18677
100030,2015,7916
010000,2016,91694
100010,2016,18547
100030,2016,9195
010000,2017,92464
100010,2017,18052
100030,2017,8483
010000,2018,89982
100010,2018,18078
100030,2018,7137
010000,2019,85014
100010,2019,17057
100030,2019,8703
010000,2020,85490
100010,2020,20312
100030,2020,10145
010000,2021,86997
100010,2021,20080
100030,2021,10616
010000,2022,84490
100010,2022,20417
100030,2022,9501
REST,1966,3785957
REST,1967,3763454
REST,1968,3736627
REST,1969,3756574
REST,1970,3781149
REST,1971,3733886
REST,1972,3692693
REST,1973,3651295
REST,1974,3601508
REST,1975,3411451
REST,1976,3505454
REST,1977,3449679
REST,1978,3441074
REST,1979,3475002
REST,1980,3506550
REST,1981,3386283
REST,1982,3430094
REST,1983,3423120
REST,1984,3473836
REST,1985,3542305
REST,1986,3653921
REST,1987,3594115
REST,1988,3542410
REST,1989,3498896
REST,1990,3456792
REST,1991,3416796
REST,1992,3434039
REST,1993,3377148
REST,1994,3361848
REST,1995,3421627
REST,1996,3451426
REST,1997,3558800
REST,1998,3649989
REST,1999,3734976
REST,2000,3793076
REST,2001,3844537
REST,2002,3829072
REST,2003,3794352
REST,2004,3777553
REST,2005,3831490
REST,2006,3945347
REST,2007,3982606
REST,2008,4031922
REST,2009,3874874
REST,2010,3801642
REST,2011,3841495
REST,2012,3779790
REST,2013,3791810
REST,2014,3786947
REST,2015,3824962
REST,2016,3909128
REST,2017,3946202
REST,2018,3944521
REST,2019,3983104
REST,2020,3837360
REST,2021,4072751
REST,2022,4236545
