TILGANG1,TILGANG2,ANVENDELSE,TID,Pt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1967,0.20257774872364603
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1968,0.18453655295762678
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1969,0.19589688026261387
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1970,0.2130690144087273
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1971,0.2148176525708255
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1972,0.24522348887480214
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1973,0.3231463226032352
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1974,0.3574645614700731
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1975,0.3932775710829953
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1976,0.4841709968003209
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1977,0.5197755662016584
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1978,0.5495748678731243
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1979,0.595938323386912
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1980,0.6615793607685791
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1981,0.7429979132280156
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1982,0.8376410046025432
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1983,0.9268399513220772
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1984,0.9229045964916879
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1985,0.9619553062697668
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1986,1.0006624931759105
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1987,1.055012429950977
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1988,0.9084076842660045
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1989,0.913297808150272
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1990,0.9075685218020595
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1991,0.9108622834524684
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1992,0.8599460865753696
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1993,0.782333535996501
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1994,0.7825186905914272
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1995,0.813115623161143
