SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1966,630077
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1966,232125
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1967,595974
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1967,220326
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1968,561953
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1968,210205
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1969,532920
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1969,204420
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1970,505492
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1970,202642
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1971,472538
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1971,194114
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1972,463150
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1972,187292
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1973,454509
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1973,179902
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1974,433263
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1974,174334
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1975,415440
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1975,156330
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1976,408086
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1976,155216
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1977,393844
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1977,152588
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1978,380021
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1978,149102
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1979,361600
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1979,150151
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1980,342439
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1980,147911
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1981,325525
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1981,145985
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1982,314708
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1982,146121
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1983,305717
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1983,147457
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1984,297005
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1984,147552
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1985,286292
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1985,145082
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1986,277373
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1986,148494
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1987,272733
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1987,140336
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1988,247527
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1988,138844
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1989,239832
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1989,133495
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1990,229640
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1990,129957
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1991,224577
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1991,129100
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1992,216746
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1992,127466
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1993,205929
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1993,124695
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1994,187306
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1994,121438
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1995,180889
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1995,123972
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1996,173049
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1996,120697
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1997,162332
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1997,117906
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1998,160810
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1998,115140
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,1999,152280
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",1999,116399
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2000,149020
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2000,117301
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2001,145343
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2001,117036
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2002,145637
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2002,116729
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2003,134391
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2003,110661
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2004,133301
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2004,106601
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2005,125588
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2005,99250
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2006,117953
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2006,95156
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2007,114771
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2007,90557
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2008,109397
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2008,89332
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2009,101938
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2009,83220
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2010,98594
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2010,79289
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2011,97135
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2011,76719
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2012,95702
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2012,73253
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2013,94814
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2013,70479
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2014,95678
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2014,66267
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2015,97467
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2015,64949
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2016,91694
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2016,65699
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2017,92464
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2017,67126
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2018,89982
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2018,65335
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2019,85014
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2019,65519
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2020,85490
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2020,70152
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2021,86997
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2021,70240
Samlede præsterede timer (1000 timer),01000 Landbrug og gartneri,2022,84490
Samlede præsterede timer (1000 timer),"10120 Føde-, drikke- og tobaksvareindustri",2022,69952
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1966,3742182
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1967,3720867
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1968,3695254
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1969,3716009
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1970,3741101
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1971,3694889
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1972,3653882
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1973,3614336
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1974,3566698
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1975,3379346
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1976,3472797
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1977,3418194
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1978,3410781
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1979,3444395
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1980,3477283
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1981,3356998
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1982,3400968
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1983,3394252
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1984,3445565
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1985,3514700
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1986,3625889
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1987,3568130
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1988,3517672
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1989,3475337
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1990,3434810
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1991,3395609
