TID,Pt
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,2806.736312638548
1993,1102.727678978395
1994,688.4379463047071
1995,848.9464182080914
1996,817.1085216669842
1997,603.7801803179569
1998,348.8216509032069
1999,822.2922804874538
2000,1002.3322896369634
2001,387.7232014897817
2002,190.00639811036598
2003,-559.449944865916
2004,-683.9358150557388
2005,-1540.5725287385978
2006,-782.3143549578356
2007,491.1201372110961
2008,1786.458894514473
2009,368.4904276931416
2010,-1311.7471428146632
2011,-1472.8249074123469
2012,-2603.199749077027
2013,-2801.5080983629136
2014,-2637.671591042626
2015,-2770.1388427513675
2016,-2913.135402383862
2017,-2923.273458244015
2018,-3320.3094182195773
2019,-3349.382648994882
2020,-3490.5639998557444
2021,-3221.685418007357
2022,-1796.0603424822953
2023,
2024,
2025,
