ANVENDELSE,TID,Pt
01000,1966,
01000,1967,
01000,1968,
01000,1969,
01000,1970,
01000,1971,
01000,1972,
01000,1973,
01000,1974,
01000,1975,
01000,1976,
01000,1977,
01000,1978,
01000,1979,
01000,1980,
01000,1981,
01000,1982,
01000,1983,
01000,1984,
01000,1985,
01000,1986,
01000,1987,
01000,1988,
01000,1989,
01000,1990,
01000,1991,
01000,1992,
01000,1993,
01000,1994,0.060751278455100616
01000,1995,0.06979108059879782
01000,1996,0.08502653550465021
01000,1997,0.07036896321872319
01000,1998,0.06786334189928389
01000,1999,0.08887160585153009
01000,2000,0.062415609137284896
01000,2001,0.05608512922721279
01000,2002,0.05987537353692002
01000,2003,0.06363606750636322
01000,2004,0.07090956673943913
01000,2005,0.045636798684503814
01000,2006,0.06395583376790558
01000,2007,0.052150346594938606
01000,2008,0.0661972928939445
01000,2009,0.07295948186737371
01000,2010,0.07474765158758047
01000,2011,0.07434565915727266
01000,2012,0.055688748115678
01000,2013,0.06165052974060092
01000,2014,0.058095357265835576
01000,2015,0.05616667499025472
01000,2016,0.04699751225800289
01000,2017,0.06361090307951567
01000,2018,0.09395303481392898
01000,2019,0.06946861459892774
01000,2020,0.06813356760998626
01000,2021,0.10072659412143985
01000,2022,0.06587272917157451
01000,2023,
01000,2024,
10120,1966,
10120,1967,
10120,1968,
10120,1969,
10120,1970,
10120,1971,
10120,1972,
10120,1973,
10120,1974,
10120,1975,
10120,1976,
10120,1977,
10120,1978,
10120,1979,
10120,1980,
10120,1981,
10120,1982,
10120,1983,
10120,1984,
10120,1985,
10120,1986,
10120,1987,
10120,1988,
10120,1989,
10120,1990,
10120,1991,
10120,1992,
10120,1993,
10120,1994,0.10203538448500699
10120,1995,0.10777478538937829
10120,1996,0.11877327569432596
10120,1997,0.11164507239103827
10120,1998,0.10658308421400488
10120,1999,0.09634680014017925
10120,2000,0.11085743992284731
10120,2001,0.08669004334689977
10120,2002,0.0938578361598564
10120,2003,0.09654273032002353
10120,2004,0.10400685379172728
10120,2005,0.08336590856138601
10120,2006,0.10278032659461983
10120,2007,0.07426519508294409
10120,2008,0.0981882805478864
10120,2009,0.10325658291655937
10120,2010,0.10760115745686456
10120,2011,0.10489537933906025
10120,2012,0.09593269822537366
10120,2013,0.09564006583360633
10120,2014,0.07855379299835906
10120,2015,0.07951903952722307
10120,2016,0.07790811200161911
10120,2017,0.09466332388529115
10120,2018,0.09516005633794716
10120,2019,0.08301997452312941
10120,2020,0.08390417810858884
10120,2021,0.08639892236241876
10120,2022,0.08233012443934364
10120,2023,
10120,2024,
REST,1966,
REST,1967,
REST,1968,
REST,1969,
REST,1970,
REST,1971,
REST,1972,
REST,1973,
REST,1974,
REST,1975,
REST,1976,
REST,1977,
REST,1978,
REST,1979,
REST,1980,
REST,1981,
REST,1982,
REST,1983,
REST,1984,
REST,1985,
REST,1986,
REST,1987,
REST,1988,
REST,1989,
REST,1990,
REST,1991,
REST,1992,
REST,1993,
REST,1994,0.08955087708996311
REST,1995,0.09556327752044948
REST,1996,0.09342214484438933
REST,1997,0.09473986162545268
REST,1998,0.09101742693012409
REST,1999,0.0876348514542488
REST,2000,0.0831324656857996
REST,2001,0.0731823589901676
REST,2002,0.07897032963572896
REST,2003,0.08235998469924993
REST,2004,0.08536540859217946
REST,2005,0.07164768631701722
REST,2006,0.0807691198837454
REST,2007,0.0660854036450302
REST,2008,0.08153243368236643
REST,2009,0.09886734645265989
REST,2010,0.09819307458043397
REST,2011,0.0903700479077028
REST,2012,0.08060789549652707
REST,2013,0.08551032607591136
REST,2014,0.08566151963116023
REST,2015,0.08114877490899977
REST,2016,0.07507253804334653
REST,2017,0.08098312172726914
REST,2018,0.08266987435273389
REST,2019,0.08093253552276662
REST,2020,0.08438049730930323
REST,2021,0.0827757371052755
REST,2022,0.06325768603167772
REST,2023,
REST,2024,
