ANVENDELSE,TID,TIMER
01000,2010,50879
10120,2010,77950
01000,1991,69831
10120,1991,124678
01000,1989,72936
10120,1989,128520
01000,1982,88378
10120,1982,138612
01000,1972,124493
10120,1972,171685
01000,2014,51597
10120,2014,64925
01000,2011,50223
10120,2011,75410
01000,1983,88601
10120,1983,140508
01000,1984,87062
10120,1984,141029
01000,2019,50310
10120,2019,64404
01000,1985,86971
10120,1985,138982
01000,2015,50303
10120,2015,63509
01000,2017,52249
10120,2017,65769
01000,1981,90048
10120,1981,137965
01000,1978,103979
10120,1978,138812
01000,2000,54261
10120,2000,114381
01000,1973,122655
10120,1973,164984
01000,1974,116425
10120,1974,159837
01000,1971,125229
10120,1971,177686
01000,2012,49797
10120,2012,72038
01000,1994,57121
10120,1994,117657
01000,1980,94417
10120,1980,139318
01000,1977,107361
10120,1977,140679
01000,2004,52184
10120,2004,104446
01000,2021,49977
10120,2021,69059
01000,2007,48565
10120,2007,88840
01000,1970,137347
10120,1970,185649
01000,1966,173223
10120,1966,211928
01000,1975,111054
10120,1975,142768
01000,2013,49805
10120,2013,69231
01000,1987,83702
10120,1987,134901
01000,2006,50574
10120,2006,93369
01000,2016,49909
10120,2016,64365
01000,1986,84708
10120,1986,142675
01000,2022,49369
10120,2022,68808
01000,1969,144981
10120,1969,186758
01000,2018,51673
10120,2018,64047
01000,1990,69380
10120,1990,125413
01000,2003,53907
10120,2003,108397
01000,1996,56360
10120,1996,116941
01000,2009,50292
10120,2009,81836
01000,1993,60334
10120,1993,120545
01000,1968,153083
10120,1968,191681
01000,1979,101299
10120,1979,140296
01000,2001,54651
10120,2001,114153
01000,2005,52515
10120,2005,96959
01000,2002,54411
10120,2002,114085
01000,1976,112961
10120,1976,142035
01000,1988,74059
10120,1988,133599
01000,1992,65370
10120,1992,123069
01000,1999,53470
10120,1999,113312
01000,1995,58019
10120,1995,119985
01000,1997,56880
10120,1997,114414
01000,2020,51664
10120,2020,69092
01000,1967,163284
10120,1967,200942
01000,2008,51626
10120,2008,87832
01000,1998,55777
10120,1998,111633
REST,1966,3252823
REST,1967,3240894
REST,1968,3224061
REST,1969,3253404
REST,1970,3285570
REST,1971,3244537
REST,1972,3216743
REST,1973,3188066
REST,1974,3143553
REST,1975,2966336
REST,1976,3060639
REST,1977,3009663
REST,1978,3009244
REST,1979,3060333
REST,1980,3109698
REST,1981,3007170
REST,1982,3057740
REST,1983,3062547
REST,1984,3121269
REST,1985,3193562
REST,1986,3302241
REST,1987,3255530
REST,1988,3207148
REST,1989,3177131
REST,1990,3157977
REST,1991,3118225
REST,1992,3123216
REST,1993,3069039
REST,1994,3062014
REST,1995,3118508
REST,1996,3138490
REST,1997,3249508
REST,1998,3336476
REST,1999,3416487
REST,2000,3455037
REST,2001,3512409
REST,2002,3481510
REST,2003,3445870
REST,2004,3446965
REST,2005,3507232
REST,2006,3616039
REST,2007,3668077
REST,2008,3727449
REST,2009,3583698
REST,2010,3516965
REST,2011,3551927
REST,2012,3500782
REST,2013,3512285
REST,2014,3508732
REST,2015,3533325
REST,2016,3628619
REST,2017,3667296
REST,2018,3672593
REST,2019,3728601
REST,2020,3594582
REST,2021,3801068
REST,2022,3960298
