ANVENDELSE,TID,afgift
01000 Landbrug og gartneri- (Anvendelse),1966,-95.392
01000 Landbrug og gartneri- (Anvendelse),1967,-64.073
01000 Landbrug og gartneri- (Anvendelse),1968,-90.042
01000 Landbrug og gartneri- (Anvendelse),1969,-123.646
01000 Landbrug og gartneri- (Anvendelse),1970,-20.129
01000 Landbrug og gartneri- (Anvendelse),1971,-38.613
01000 Landbrug og gartneri- (Anvendelse),1972,-45.278
01000 Landbrug og gartneri- (Anvendelse),1973,-475.81300000000005
01000 Landbrug og gartneri- (Anvendelse),1974,-541.162
01000 Landbrug og gartneri- (Anvendelse),1975,-731.4649999999999
01000 Landbrug og gartneri- (Anvendelse),1976,-765.2239999999999
01000 Landbrug og gartneri- (Anvendelse),1977,-695.583
01000 Landbrug og gartneri- (Anvendelse),1978,-790.111
01000 Landbrug og gartneri- (Anvendelse),1979,-929.184
01000 Landbrug og gartneri- (Anvendelse),1980,-814.607
01000 Landbrug og gartneri- (Anvendelse),1981,-787.977
01000 Landbrug og gartneri- (Anvendelse),1982,-929.753
01000 Landbrug og gartneri- (Anvendelse),1983,-1214.746
01000 Landbrug og gartneri- (Anvendelse),1984,-1421.3329999999999
01000 Landbrug og gartneri- (Anvendelse),1985,-1506.098
01000 Landbrug og gartneri- (Anvendelse),1986,-1096.966
01000 Landbrug og gartneri- (Anvendelse),1987,-1359.317
01000 Landbrug og gartneri- (Anvendelse),1988,-834.845
01000 Landbrug og gartneri- (Anvendelse),1989,-428.65900000000005
01000 Landbrug og gartneri- (Anvendelse),1990,-753.16
01000 Landbrug og gartneri- (Anvendelse),1991,-498.966
01000 Landbrug og gartneri- (Anvendelse),1992,-745.694
01000 Landbrug og gartneri- (Anvendelse),1993,-1658.101
01000 Landbrug og gartneri- (Anvendelse),1994,-1678.559
01000 Landbrug og gartneri- (Anvendelse),1995,-1821.651
01000 Landbrug og gartneri- (Anvendelse),1996,-1797.665
01000 Landbrug og gartneri- (Anvendelse),1997,-1582.894
01000 Landbrug og gartneri- (Anvendelse),1998,-1809.5030000000002
01000 Landbrug og gartneri- (Anvendelse),1999,-1851.115
01000 Landbrug og gartneri- (Anvendelse),2000,-1761.101
01000 Landbrug og gartneri- (Anvendelse),2001,-1768.421
