TID,INDHOLD
1982,2622497.0
1983,2609892.0
1984,2626380.0
1985,2613536.0
1986,2604464.0
1987,2587243.0
1988,2569828.0
1989,2555043.0
1990,2571041.0
1991,2557627.0
1992,2548395.0
1993,2326833.0
1994,2287686.0
1995,2301522.0
1996,2332482.0
1997,2373014.0
1998,2374050.0
1999,2301485.0
2000,2289403.0
2001,2300010.0
2002,2283240.0
2003,2273478.0
2004,2275790.0
2005,2338676.0
2006,2355327.0
2007,2316136.0
2008,2414401.0
2009,2394447.0
2010,2411801.0
2011,2428236.0
2012,2419649.0
2013,2406094.0
2014,2437626.0
2015,2351631.0
2016,2365537.0
2017,2359346.0
2018,2343419.0
2019,2342263.0
2020,2315855.0
2021,2307046.0
2022,2289825.0
2023,2226855.0
2024,2187941.0
