TID,Pt
1982,0.3514683818539823
1983,0.3973724151051324
1984,0.4383776051178831
1985,0.5201566859281853
1986,0.5062583194523264
1987,0.5008182327723367
1988,0.5008916234864006
1989,0.5100547016426245
1990,0.4721733576363549
1991,0.4925023056546089
1992,0.48088746116477404
1993,0.47443760700789817
1994,0.4855348679065828
1995,0.5509031763489103
1996,0.5640532265178253
1997,0.6440526952555627
1998,0.7024898829065633
1999,0.7629737627256119
2000,0.8128067865013813
2001,0.8980291990503015
2002,0.9054071858658551
2003,0.9170936144303449
2004,1.018673028871571
2005,1.1351173082380372
2006,1.4188966352975465
2007,1.6872598421573366
2008,1.9736085225834656
2009,1.6107161209666903
2010,1.3160918217865825
2011,0.998665470191666
2012,1.0026537201935835
2013,0.898522046585828
2014,0.983924284607656
2015,1.072731874554198
2016,1.0040879562519653
2017,0.9886028086483668
2018,1.0131612250063275
2019,1.0066573096185851
2020,1.0
2021,1.0388700980956105
2022,1.1321261207365991
2023,1.224108971261591
2024,1.2853132693679392
2025,
