TILGANG2,ANVENDELSE,TID,tau
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1967,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1968,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1969,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1970,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1971,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1972,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1973,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1974,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1975,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1976,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1977,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1978,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1979,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1980,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1981,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1982,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1983,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1984,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1985,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1986,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1987,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1988,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1989,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1990,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1991,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1992,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1993,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1994,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1995,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1996,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1997,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1998,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),1999,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2000,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2001,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2002,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2003,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2004,0.0
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2005,0.0018420410132019558
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2006,0.0014387585109091085
01000 Landbrug og gartneri-(Tilgang),01000 Landbrug og gartneri- (Anvendelse),2007,0.003236060049019608
