SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1966,630077
Samlede præsterede timer (1000 timer),100010 Slagterier,1966,60113
Samlede præsterede timer (1000 timer),100030 Mejerier,1966,30437
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1967,595974
Samlede præsterede timer (1000 timer),100010 Slagterier,1967,54768
Samlede præsterede timer (1000 timer),100030 Mejerier,1967,29463
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1968,561953
Samlede præsterede timer (1000 timer),100010 Slagterier,1968,52525
Samlede præsterede timer (1000 timer),100030 Mejerier,1968,28350
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1969,532920
Samlede præsterede timer (1000 timer),100010 Slagterier,1969,51564
Samlede præsterede timer (1000 timer),100030 Mejerier,1969,27073
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1970,505492
Samlede præsterede timer (1000 timer),100010 Slagterier,1970,52431
Samlede præsterede timer (1000 timer),100030 Mejerier,1970,26101
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1971,472538
Samlede præsterede timer (1000 timer),100010 Slagterier,1971,51104
Samlede præsterede timer (1000 timer),100030 Mejerier,1971,24744
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1972,463150
Samlede præsterede timer (1000 timer),100010 Slagterier,1972,49589
Samlede præsterede timer (1000 timer),100030 Mejerier,1972,23556
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1973,454509
Samlede præsterede timer (1000 timer),100010 Slagterier,1973,48535
Samlede præsterede timer (1000 timer),100030 Mejerier,1973,23343
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1974,433263
Samlede præsterede timer (1000 timer),100010 Slagterier,1974,47576
Samlede præsterede timer (1000 timer),100030 Mejerier,1974,22351
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1975,415440
Samlede præsterede timer (1000 timer),100010 Slagterier,1975,40386
Samlede præsterede timer (1000 timer),100030 Mejerier,1975,20109
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1976,408086
Samlede præsterede timer (1000 timer),100010 Slagterier,1976,39183
Samlede præsterede timer (1000 timer),100030 Mejerier,1976,20295
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1977,393844
Samlede præsterede timer (1000 timer),100010 Slagterier,1977,38233
Samlede præsterede timer (1000 timer),100030 Mejerier,1977,19826
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1978,380021
Samlede præsterede timer (1000 timer),100010 Slagterier,1978,39174
Samlede præsterede timer (1000 timer),100030 Mejerier,1978,18797
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1979,361600
Samlede præsterede timer (1000 timer),100010 Slagterier,1979,40916
Samlede præsterede timer (1000 timer),100030 Mejerier,1979,18407
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1980,342439
Samlede præsterede timer (1000 timer),100010 Slagterier,1980,41428
Samlede præsterede timer (1000 timer),100030 Mejerier,1980,17839
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1981,325525
Samlede præsterede timer (1000 timer),100010 Slagterier,1981,42756
Samlede præsterede timer (1000 timer),100030 Mejerier,1981,17053
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1982,314708
Samlede præsterede timer (1000 timer),100010 Slagterier,1982,43379
Samlede præsterede timer (1000 timer),100030 Mejerier,1982,16284
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1983,305717
Samlede præsterede timer (1000 timer),100010 Slagterier,1983,44495
Samlede præsterede timer (1000 timer),100030 Mejerier,1983,16978
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1984,297005
Samlede præsterede timer (1000 timer),100010 Slagterier,1984,44335
Samlede præsterede timer (1000 timer),100030 Mejerier,1984,17590
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1985,286292
Samlede præsterede timer (1000 timer),100010 Slagterier,1985,44751
Samlede præsterede timer (1000 timer),100030 Mejerier,1985,16902
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1986,277373
Samlede præsterede timer (1000 timer),100010 Slagterier,1986,46152
Samlede præsterede timer (1000 timer),100030 Mejerier,1986,16768
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1987,272733
Samlede præsterede timer (1000 timer),100010 Slagterier,1987,43038
Samlede præsterede timer (1000 timer),100030 Mejerier,1987,15848
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1988,247527
Samlede præsterede timer (1000 timer),100010 Slagterier,1988,42100
