SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2010,98594
Samlede præsterede timer (1000 timer),100010 Slagterier,2010,23721
Samlede præsterede timer (1000 timer),100030 Mejerier,2010,11852
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2010,50879
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2010,23615
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2010,11817
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1972,463150
Samlede præsterede timer (1000 timer),100010 Slagterier,1972,49589
Samlede præsterede timer (1000 timer),100030 Mejerier,1972,23556
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1991,224577
Samlede præsterede timer (1000 timer),100010 Slagterier,1991,38302
Samlede præsterede timer (1000 timer),100030 Mejerier,1991,16259
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1991,69831
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1991,37992
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1991,16227
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1989,239832
Samlede præsterede timer (1000 timer),100010 Slagterier,1989,41281
Samlede præsterede timer (1000 timer),100030 Mejerier,1989,15973
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1989,72936
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1989,41001
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1989,15916
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1982,314708
Samlede præsterede timer (1000 timer),100010 Slagterier,1982,43379
Samlede præsterede timer (1000 timer),100030 Mejerier,1982,16284
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1982,88378
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1982,43053
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1982,16095
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1972,124493
