ANVENDELSE,TID,Pt
010000,1966,
010000,1967,
010000,1968,
010000,1969,
010000,1970,
010000,1971,
010000,1972,
010000,1973,
010000,1974,
010000,1975,
010000,1976,
010000,1977,
010000,1978,
010000,1979,
010000,1980,
010000,1981,
010000,1982,
010000,1983,
010000,1984,
010000,1985,
010000,1986,
010000,1987,
010000,1988,
010000,1989,
010000,1990,
010000,1991,
010000,1992,
010000,1993,
010000,1994,0.060751278455100616
010000,1995,0.06979108059879782
010000,1996,0.08502653550465021
010000,1997,0.07036896321872319
010000,1998,0.06786334189928389
010000,1999,0.08887160585153009
010000,2000,0.062415609137284896
010000,2001,0.05608512922721279
010000,2002,0.05987537353692002
010000,2003,0.06363606750636322
010000,2004,0.07090956673943913
010000,2005,0.045636798684503814
010000,2006,0.06395583376790558
010000,2007,0.052150346594938606
010000,2008,0.0661972928939445
010000,2009,0.07295948186737371
010000,2010,0.07474765158758047
010000,2011,0.07434565915727266
010000,2012,0.055688748115678
010000,2013,0.06165052974060092
010000,2014,0.058095357265835576
010000,2015,0.05616667499025472
010000,2016,0.04699751225800289
010000,2017,0.06361090307951567
010000,2018,0.09395303481392898
010000,2019,0.06946861459892774
010000,2020,0.06813356760998626
010000,2021,0.10072659412143985
010000,2022,0.06587272917157451
010000,2023,
010000,2024,
100010,1966,
100010,1967,
100010,1968,
100010,1969,
100010,1970,
100010,1971,
100010,1972,
100010,1973,
100010,1974,
100010,1975,
100010,1976,
100010,1977,
100010,1978,
100010,1979,
100010,1980,
100010,1981,
100010,1982,
100010,1983,
100010,1984,
100010,1985,
100010,1986,
100010,1987,
100010,1988,
100010,1989,
100010,1990,
100010,1991,
100010,1992,
100010,1993,
100010,1994,0.10203538448500699
100010,1995,0.10777478538937829
100010,1996,0.11877327569432596
100010,1997,0.11164507239103827
100010,1998,0.10658308421400488
100010,1999,0.09634680014017925
100010,2000,0.11085743992284731
100010,2001,0.08669004334689977
100010,2002,0.0938578361598564
100010,2003,0.09654273032002353
100010,2004,0.10400685379172728
100010,2005,0.08336590856138601
100010,2006,0.10278032659461983
100010,2007,0.07426519508294409
100010,2008,0.0981882805478864
100010,2009,0.10325658291655937
100010,2010,0.10760115745686456
100010,2011,0.10489537933906025
100010,2012,0.09593269822537366
100010,2013,0.09564006583360633
100010,2014,0.07855379299835906
100010,2015,0.07951903952722307
100010,2016,0.07790811200161911
100010,2017,0.09466332388529115
100010,2018,0.09516005633794716
100010,2019,0.08301997452312941
100010,2020,0.08390417810858884
100010,2021,0.08639892236241876
100010,2022,0.08233012443934364
100010,2023,
100010,2024,
100030,1966,
100030,1967,
100030,1968,
100030,1969,
100030,1970,
100030,1971,
100030,1972,
100030,1973,
100030,1974,
100030,1975,
100030,1976,
100030,1977,
100030,1978,
100030,1979,
100030,1980,
100030,1981,
100030,1982,
100030,1983,
100030,1984,
100030,1985,
100030,1986,
100030,1987,
100030,1988,
100030,1989,
100030,1990,
100030,1991,
100030,1992,
100030,1993,
100030,1994,0.10203538448500699
100030,1995,0.10777478538937829
100030,1996,0.11877327569432596
100030,1997,0.11164507239103827
100030,1998,0.10658308421400488
100030,1999,0.09634680014017925
100030,2000,0.11085743992284731
100030,2001,0.08669004334689977
100030,2002,0.0938578361598564
100030,2003,0.09654273032002353
100030,2004,0.10400685379172728
100030,2005,0.08336590856138601
100030,2006,0.10278032659461983
100030,2007,0.07426519508294409
100030,2008,0.0981882805478864
100030,2009,0.10325658291655937
100030,2010,0.10760115745686456
100030,2011,0.10489537933906025
100030,2012,0.09593269822537366
100030,2013,0.09564006583360633
100030,2014,0.07855379299835906
100030,2015,0.07951903952722307
100030,2016,0.07790811200161911
100030,2017,0.09466332388529115
100030,2018,0.09516005633794716
100030,2019,0.08301997452312941
100030,2020,0.08390417810858884
100030,2021,0.08639892236241876
100030,2022,0.08233012443934364
100030,2023,
100030,2024,
100040x100050,1966,
100040x100050,1967,
100040x100050,1968,
100040x100050,1969,
100040x100050,1970,
100040x100050,1971,
100040x100050,1972,
100040x100050,1973,
100040x100050,1974,
100040x100050,1975,
100040x100050,1976,
100040x100050,1977,
100040x100050,1978,
100040x100050,1979,
100040x100050,1980,
100040x100050,1981,
100040x100050,1982,
100040x100050,1983,
100040x100050,1984,
100040x100050,1985,
100040x100050,1986,
100040x100050,1987,
100040x100050,1988,
100040x100050,1989,
100040x100050,1990,
100040x100050,1991,
100040x100050,1992,
100040x100050,1993,
100040x100050,1994,0.10203538448500699
100040x100050,1995,0.10777478538937829
100040x100050,1996,0.11877327569432596
100040x100050,1997,0.11164507239103827
100040x100050,1998,0.10658308421400488
100040x100050,1999,0.09634680014017925
100040x100050,2000,0.11085743992284731
