ANVENDELSE,TID,TIMER
010000,2010,50879
100010,2010,23615
100030,2010,11817
010000,1991,69831
100010,1991,37992
100030,1991,16227
010000,1989,72936
100010,1989,41001
100030,1989,15916
010000,1982,88378
100010,1982,43053
100030,1982,16095
010000,1972,124493
100010,1972,48668
100030,1972,21825
010000,2014,51597
100010,2014,19525
100030,2014,8663
010000,2011,50223
100010,2011,23140
100030,2011,11839
010000,1983,88601
100010,1983,44180
100030,1983,16864
010000,1984,87062
100010,1984,44014
100030,1984,17497
010000,2019,50310
100010,2019,16977
100030,2019,8682
010000,1985,86971
100010,1985,44437
100030,1985,16843
010000,2015,50303
100010,2015,18575
100030,2015,7882
010000,2017,52249
100010,2017,17949
100030,2017,8452
010000,1981,90048
100010,1981,42409
100030,1981,16776
010000,1978,103979
100010,1978,38694
100030,1978,18146
010000,2000,54261
100010,2000,33949
100030,2000,14183
010000,1973,122655
100010,1973,47643
100030,1973,21802
010000,1974,116425
100010,1974,46703
100030,1974,20834
010000,1971,125229
100010,1971,50041
100030,1971,22900
010000,2012,49797
100010,2012,22766
100030,2012,11721
010000,1994,57121
100010,1994,39913
100030,1994,13785
010000,1980,94417
100010,1980,41065
100030,1980,17533
010000,1977,107361
100010,1977,37718
100030,1977,18840
010000,2004,52184
100010,2004,32049
100030,2004,14338
010000,2021,49977
100010,2021,19993
100030,2021,10586
010000,2007,48565
100010,2007,25238
100030,2007,11393
010000,1970,137347
100010,1970,51253
100030,1970,24148
010000,1966,173223
100010,1966,58532
100030,1966,28158
010000,1975,111054
100010,1975,39739
100030,1975,19031
010000,2013,49805
100010,2013,20769
100030,2013,10457
010000,1987,83702
100010,1987,42707
100030,1987,15804
010000,2006,50574
100010,2006,25860
100030,2006,12421
010000,2016,49909
100010,2016,18453
100030,2016,9166
010000,1986,84708
100010,1986,45837
100030,1986,16739
010000,2022,49369
100010,2022,20334
100030,2022,9470
010000,1969,144981
100010,1969,50295
100030,1969,25004
010000,2018,51673
100010,2018,17990
100030,2018,7115
010000,1990,69380
100010,1990,39560
100030,1990,16240
010000,2003,53907
100010,2003,33444
100030,2003,14774
010000,1996,56360
100010,1996,35864
100030,1996,13916
010000,2009,50292
100010,2009,24591
100030,2009,11829
010000,1993,60334
100010,1993,37868
100030,1993,14865
010000,1968,153083
100010,1968,51163
100030,1968,26203
010000,1979,101299
100010,1979,40493
100030,1979,17816
010000,2001,54651
100010,2001,33927
100030,2001,14421
010000,2005,52515
100010,2005,27323
100030,2005,13876
010000,2002,54411
100010,2002,33707
100030,2002,15108
010000,1976,112961
100010,1976,38569
100030,1976,19000
010000,1988,74059
100010,1988,41783
100030,1988,18121
010000,1992,65370
100010,1992,38156
100030,1992,16338
010000,1999,53470
100010,1999,34873
100030,1999,13109
010000,1995,58019
100010,1995,37612
100030,1995,14412
010000,1997,56880
100010,1997,35384
100030,1997,13378
010000,2020,51664
100010,2020,20230
100030,2020,10120
010000,1967,163284
100010,1967,53302
100030,1967,27260
010000,2008,51626
100010,2008,24887
100030,2008,11797
010000,1998,55777
100010,1998,35502
100030,1998,13210
REST,1966,3507938
REST,1967,3483879
REST,1968,3456581
REST,1969,3480229
REST,1970,3510802
REST,1971,3460804
REST,1972,3426871
REST,1973,3389660
REST,1974,3337873
REST,1975,3140833
REST,1976,3234881
REST,1977,3181407
REST,1978,3178026
REST,1979,3230913
REST,1980,3278021
