ANVENDELSE,TID,afgift
010000 Landbrug og gartneri- (Anvendelse),1966,-95.392
010000 Landbrug og gartneri- (Anvendelse),1967,-64.073
010000 Landbrug og gartneri- (Anvendelse),1968,-90.042
010000 Landbrug og gartneri- (Anvendelse),1969,-123.646
010000 Landbrug og gartneri- (Anvendelse),1970,-20.129
010000 Landbrug og gartneri- (Anvendelse),1971,-38.613
010000 Landbrug og gartneri- (Anvendelse),1972,-45.278
010000 Landbrug og gartneri- (Anvendelse),1973,-475.81300000000005
010000 Landbrug og gartneri- (Anvendelse),1974,-541.162
010000 Landbrug og gartneri- (Anvendelse),1975,-731.4649999999999
010000 Landbrug og gartneri- (Anvendelse),1976,-765.2239999999999
010000 Landbrug og gartneri- (Anvendelse),1977,-695.583
010000 Landbrug og gartneri- (Anvendelse),1978,-790.111
010000 Landbrug og gartneri- (Anvendelse),1979,-929.184
010000 Landbrug og gartneri- (Anvendelse),1980,-814.607
010000 Landbrug og gartneri- (Anvendelse),1981,-787.977
010000 Landbrug og gartneri- (Anvendelse),1982,-929.753
010000 Landbrug og gartneri- (Anvendelse),1983,-1214.746
010000 Landbrug og gartneri- (Anvendelse),1984,-1421.3329999999999
010000 Landbrug og gartneri- (Anvendelse),1985,-1506.098
010000 Landbrug og gartneri- (Anvendelse),1986,-1096.966
010000 Landbrug og gartneri- (Anvendelse),1987,-1359.317
010000 Landbrug og gartneri- (Anvendelse),1988,-834.845
010000 Landbrug og gartneri- (Anvendelse),1989,-428.65900000000005
010000 Landbrug og gartneri- (Anvendelse),1990,-753.16
010000 Landbrug og gartneri- (Anvendelse),1991,-498.966
010000 Landbrug og gartneri- (Anvendelse),1992,-745.694
010000 Landbrug og gartneri- (Anvendelse),1993,-1658.101
010000 Landbrug og gartneri- (Anvendelse),1994,-1678.559
010000 Landbrug og gartneri- (Anvendelse),1995,-1821.651
010000 Landbrug og gartneri- (Anvendelse),1996,-1797.665
010000 Landbrug og gartneri- (Anvendelse),1997,-1582.894
010000 Landbrug og gartneri- (Anvendelse),1998,-1809.5030000000002
010000 Landbrug og gartneri- (Anvendelse),1999,-1851.115
010000 Landbrug og gartneri- (Anvendelse),2000,-1761.101
010000 Landbrug og gartneri- (Anvendelse),2001,-1768.421
010000 Landbrug og gartneri- (Anvendelse),2002,-688.7470000000001
010000 Landbrug og gartneri- (Anvendelse),2003,-458.166
010000 Landbrug og gartneri- (Anvendelse),2004,-418.813
010000 Landbrug og gartneri- (Anvendelse),2005,1005.665
010000 Landbrug og gartneri- (Anvendelse),2006,980.325
010000 Landbrug og gartneri- (Anvendelse),2007,1324.8990000000001
010000 Landbrug og gartneri- (Anvendelse),2008,1205.305
010000 Landbrug og gartneri- (Anvendelse),2009,1284.3909999999998
010000 Landbrug og gartneri- (Anvendelse),2010,1263.7440000000001
010000 Landbrug og gartneri- (Anvendelse),2011,1491.5529999999999
010000 Landbrug og gartneri- (Anvendelse),2012,1498.725
010000 Landbrug og gartneri- (Anvendelse),2013,1473.1660000000002
010000 Landbrug og gartneri- (Anvendelse),2014,1354.191
010000 Landbrug og gartneri- (Anvendelse),2015,1346.719
010000 Landbrug og gartneri- (Anvendelse),2016,1322.8359999999998
010000 Landbrug og gartneri- (Anvendelse),2017,1150.506
010000 Landbrug og gartneri- (Anvendelse),2018,1186.183
010000 Landbrug og gartneri- (Anvendelse),2019,1087.818
010000 Landbrug og gartneri- (Anvendelse),2020,1103.3339999999998
010000 Landbrug og gartneri- (Anvendelse),2021,1235.269
010000 Landbrug og gartneri- (Anvendelse),2022,1315.1409999999998
100010 Slagterier- (Anvendelse),1966,7.289
100010 Slagterier- (Anvendelse),1967,-12.269
100010 Slagterier- (Anvendelse),1968,-177.762
100010 Slagterier- (Anvendelse),1969,-180.196
100010 Slagterier- (Anvendelse),1970,-204.978
100010 Slagterier- (Anvendelse),1971,-335.264
100010 Slagterier- (Anvendelse),1972,-408.384
100010 Slagterier- (Anvendelse),1973,-51.878
100010 Slagterier- (Anvendelse),1974,-107.958
100010 Slagterier- (Anvendelse),1975,-532.039
100010 Slagterier- (Anvendelse),1976,-176.168
100010 Slagterier- (Anvendelse),1977,23.651
100010 Slagterier- (Anvendelse),1978,32.592
100010 Slagterier- (Anvendelse),1979,32.977
100010 Slagterier- (Anvendelse),1980,20.124
100010 Slagterier- (Anvendelse),1981,18.879
100010 Slagterier- (Anvendelse),1982,19.616
100010 Slagterier- (Anvendelse),1983,21.721
100010 Slagterier- (Anvendelse),1984,27.1
100010 Slagterier- (Anvendelse),1985,19.357
100010 Slagterier- (Anvendelse),1986,60.632
100010 Slagterier- (Anvendelse),1987,10.015
100010 Slagterier- (Anvendelse),1988,-292.231
100010 Slagterier- (Anvendelse),1989,-36.446
100010 Slagterier- (Anvendelse),1990,27.186999999999998
100010 Slagterier- (Anvendelse),1991,-72.875
100010 Slagterier- (Anvendelse),1992,-49.173
100010 Slagterier- (Anvendelse),1993,7.837
100010 Slagterier- (Anvendelse),1994,25.994999999999997
100010 Slagterier- (Anvendelse),1995,31.756999999999998
100010 Slagterier- (Anvendelse),1996,17.725
100010 Slagterier- (Anvendelse),1997,-12.629000000000001
100010 Slagterier- (Anvendelse),1998,57.692
100010 Slagterier- (Anvendelse),1999,90.895
100010 Slagterier- (Anvendelse),2000,78.131
100010 Slagterier- (Anvendelse),2001,78.73599999999999
100010 Slagterier- (Anvendelse),2002,76.05600000000001
100010 Slagterier- (Anvendelse),2003,86.552
100010 Slagterier- (Anvendelse),2004,92.1
100010 Slagterier- (Anvendelse),2005,158.65099999999998
100010 Slagterier- (Anvendelse),2006,127.996
100010 Slagterier- (Anvendelse),2007,142.839
100010 Slagterier- (Anvendelse),2008,133.085
100010 Slagterier- (Anvendelse),2009,128.836
100010 Slagterier- (Anvendelse),2010,136.557
100010 Slagterier- (Anvendelse),2011,166.461
100010 Slagterier- (Anvendelse),2012,278.47400000000005
100010 Slagterier- (Anvendelse),2013,159.343
100010 Slagterier- (Anvendelse),2014,148.629
100010 Slagterier- (Anvendelse),2015,124.807
100010 Slagterier- (Anvendelse),2016,130.036
100010 Slagterier- (Anvendelse),2017,90.605
100010 Slagterier- (Anvendelse),2018,98.892
100010 Slagterier- (Anvendelse),2019,29.935000000000002
100010 Slagterier- (Anvendelse),2020,36.757
100010 Slagterier- (Anvendelse),2021,57.417
100010 Slagterier- (Anvendelse),2022,76.258
100030 Mejerier- (Anvendelse),1966,-197.38899999999998
100030 Mejerier- (Anvendelse),1967,-235.353
100030 Mejerier- (Anvendelse),1968,-302.998
100030 Mejerier- (Anvendelse),1969,-348.372
100030 Mejerier- (Anvendelse),1970,-578.885
100030 Mejerier- (Anvendelse),1971,-810.27
100030 Mejerier- (Anvendelse),1972,-577.307
100030 Mejerier- (Anvendelse),1973,-86.653
100030 Mejerier- (Anvendelse),1974,-6.729
100030 Mejerier- (Anvendelse),1975,-3.703
100030 Mejerier- (Anvendelse),1976,0.449
100030 Mejerier- (Anvendelse),1977,40.532
100030 Mejerier- (Anvendelse),1978,-80.333
100030 Mejerier- (Anvendelse),1979,25.95
100030 Mejerier- (Anvendelse),1980,59.38
100030 Mejerier- (Anvendelse),1981,159.708
100030 Mejerier- (Anvendelse),1982,134.168
100030 Mejerier- (Anvendelse),1983,75.637
100030 Mejerier- (Anvendelse),1984,9.873
100030 Mejerier- (Anvendelse),1985,-133.579
100030 Mejerier- (Anvendelse),1986,-292.902
100030 Mejerier- (Anvendelse),1987,-370.846
100030 Mejerier- (Anvendelse),1988,7.722
100030 Mejerier- (Anvendelse),1989,301.466
100030 Mejerier- (Anvendelse),1990,242.179
100030 Mejerier- (Anvendelse),1991,235.074
100030 Mejerier- (Anvendelse),1992,235.57600000000002
100030 Mejerier- (Anvendelse),1993,113.835
100030 Mejerier- (Anvendelse),1994,109.547
100030 Mejerier- (Anvendelse),1995,110.59
100030 Mejerier- (Anvendelse),1996,92.622
100030 Mejerier- (Anvendelse),1997,163.668
100030 Mejerier- (Anvendelse),1998,141.622
100030 Mejerier- (Anvendelse),1999,157.543
100030 Mejerier- (Anvendelse),2000,174.053
100030 Mejerier- (Anvendelse),2001,184.655
100030 Mejerier- (Anvendelse),2002,165.236
100030 Mejerier- (Anvendelse),2003,174.8
100030 Mejerier- (Anvendelse),2004,176.868
100030 Mejerier- (Anvendelse),2005,233.947
100030 Mejerier- (Anvendelse),2006,210.939
100030 Mejerier- (Anvendelse),2007,222.654
100030 Mejerier- (Anvendelse),2008,238.004
100030 Mejerier- (Anvendelse),2009,244.221
100030 Mejerier- (Anvendelse),2010,175.187
100030 Mejerier- (Anvendelse),2011,283.248
100030 Mejerier- (Anvendelse),2012,404.957
100030 Mejerier- (Anvendelse),2013,308.07800000000003
100030 Mejerier- (Anvendelse),2014,234.591
100030 Mejerier- (Anvendelse),2015,198.518
100030 Mejerier- (Anvendelse),2016,209.976
100030 Mejerier- (Anvendelse),2017,164.488
100030 Mejerier- (Anvendelse),2018,195.842
100030 Mejerier- (Anvendelse),2019,90.31899999999999
100030 Mejerier- (Anvendelse),2020,127.16499999999999
100030 Mejerier- (Anvendelse),2021,154.086
100030 Mejerier- (Anvendelse),2022,197.63
"100040x100050 Anden fødevareindustri (100040, 100050)",1966,23.521
"100040x100050 Anden fødevareindustri (100040, 100050)",1967,21.753999999999998
"100040x100050 Anden fødevareindustri (100040, 100050)",1968,29.974
"100040x100050 Anden fødevareindustri (100040, 100050)",1969,25.991
"100040x100050 Anden fødevareindustri (100040, 100050)",1970,26.514
"100040x100050 Anden fødevareindustri (100040, 100050)",1971,32.238
"100040x100050 Anden fødevareindustri (100040, 100050)",1972,115.724
"100040x100050 Anden fødevareindustri (100040, 100050)",1973,5.859
"100040x100050 Anden fødevareindustri (100040, 100050)",1974,16.628999999999998
"100040x100050 Anden fødevareindustri (100040, 100050)",1975,72.553
"100040x100050 Anden fødevareindustri (100040, 100050)",1976,41.709
"100040x100050 Anden fødevareindustri (100040, 100050)",1977,58.368
"100040x100050 Anden fødevareindustri (100040, 100050)",1978,55.601
"100040x100050 Anden fødevareindustri (100040, 100050)",1979,17.318
"100040x100050 Anden fødevareindustri (100040, 100050)",1980,-34.106
"100040x100050 Anden fødevareindustri (100040, 100050)",1981,-16.386000000000003
"100040x100050 Anden fødevareindustri (100040, 100050)",1982,-137.27700000000002
"100040x100050 Anden fødevareindustri (100040, 100050)",1983,-45.72
"100040x100050 Anden fødevareindustri (100040, 100050)",1984,-228.645
"100040x100050 Anden fødevareindustri (100040, 100050)",1985,-130.055
"100040x100050 Anden fødevareindustri (100040, 100050)",1986,44.321000000000005
"100040x100050 Anden fødevareindustri (100040, 100050)",1987,-478.943
"100040x100050 Anden fødevareindustri (100040, 100050)",1988,-410.168
"100040x100050 Anden fødevareindustri (100040, 100050)",1989,20.327
"100040x100050 Anden fødevareindustri (100040, 100050)",1990,-49.004999999999995
"100040x100050 Anden fødevareindustri (100040, 100050)",1991,57.144000000000005
"100040x100050 Anden fødevareindustri (100040, 100050)",1992,-217.061
"100040x100050 Anden fødevareindustri (100040, 100050)",1993,-500.2949999999999
"100040x100050 Anden fødevareindustri (100040, 100050)",1994,-331.44199999999995
"100040x100050 Anden fødevareindustri (100040, 100050)",1995,-356.046
"100040x100050 Anden fødevareindustri (100040, 100050)",1996,-368.379
"100040x100050 Anden fødevareindustri (100040, 100050)",1997,-333.26099999999997
"100040x100050 Anden fødevareindustri (100040, 100050)",1998,-315.995
"100040x100050 Anden fødevareindustri (100040, 100050)",1999,-85.02799999999998
"100040x100050 Anden fødevareindustri (100040, 100050)",2000,-67.5
"100040x100050 Anden fødevareindustri (100040, 100050)",2001,-118.907
"100040x100050 Anden fødevareindustri (100040, 100050)",2002,-1380.27
"100040x100050 Anden fødevareindustri (100040, 100050)",2003,-1902.661
"100040x100050 Anden fødevareindustri (100040, 100050)",2004,-1717.803
"100040x100050 Anden fødevareindustri (100040, 100050)",2005,690.473
"100040x100050 Anden fødevareindustri (100040, 100050)",2006,435.448
"100040x100050 Anden fødevareindustri (100040, 100050)",2007,456.5
"100040x100050 Anden fødevareindustri (100040, 100050)",2008,736.67
"100040x100050 Anden fødevareindustri (100040, 100050)",2009,457.7740000000001
"100040x100050 Anden fødevareindustri (100040, 100050)",2010,529.628
"100040x100050 Anden fødevareindustri (100040, 100050)",2011,635.378
"100040x100050 Anden fødevareindustri (100040, 100050)",2012,915.181
"100040x100050 Anden fødevareindustri (100040, 100050)",2013,640.791
"100040x100050 Anden fødevareindustri (100040, 100050)",2014,550.7239999999999
"100040x100050 Anden fødevareindustri (100040, 100050)",2015,489.9
"100040x100050 Anden fødevareindustri (100040, 100050)",2016,425.178
"100040x100050 Anden fødevareindustri (100040, 100050)",2017,377.312
"100040x100050 Anden fødevareindustri (100040, 100050)",2018,357.975
"100040x100050 Anden fødevareindustri (100040, 100050)",2019,222.47500000000002
"100040x100050 Anden fødevareindustri (100040, 100050)",2020,214.838
"100040x100050 Anden fødevareindustri (100040, 100050)",2021,247.19
"100040x100050 Anden fødevareindustri (100040, 100050)",2022,283.725
REST_ANVENDELSE Øvrige brancher,1966,1442.7890000000002
REST_ANVENDELSE Øvrige brancher,1967,1596.719
REST_ANVENDELSE Øvrige brancher,1968,1769.6390000000001
REST_ANVENDELSE Øvrige brancher,1969,1921.345
REST_ANVENDELSE Øvrige brancher,1970,2189.011
REST_ANVENDELSE Øvrige brancher,1971,2244.257
REST_ANVENDELSE Øvrige brancher,1972,2726.0209999999997
REST_ANVENDELSE Øvrige brancher,1973,2472.642
REST_ANVENDELSE Øvrige brancher,1974,3053.26
REST_ANVENDELSE Øvrige brancher,1975,3209.771
REST_ANVENDELSE Øvrige brancher,1976,4455.788
REST_ANVENDELSE Øvrige brancher,1977,5685.117
REST_ANVENDELSE Øvrige brancher,1978,7090.434
REST_ANVENDELSE Øvrige brancher,1979,8441.958999999999
REST_ANVENDELSE Øvrige brancher,1980,9534.396
REST_ANVENDELSE Øvrige brancher,1981,10244.311
REST_ANVENDELSE Øvrige brancher,1982,11112.979
REST_ANVENDELSE Øvrige brancher,1983,12684.420000000002
REST_ANVENDELSE Øvrige brancher,1984,10192.542000000001
REST_ANVENDELSE Øvrige brancher,1985,12749.463
REST_ANVENDELSE Øvrige brancher,1986,18489.941
REST_ANVENDELSE Øvrige brancher,1987,20494.288999999997
REST_ANVENDELSE Øvrige brancher,1988,21750.299
REST_ANVENDELSE Øvrige brancher,1989,23371.581
REST_ANVENDELSE Øvrige brancher,1990,24776.78
REST_ANVENDELSE Øvrige brancher,1991,25597.248
REST_ANVENDELSE Øvrige brancher,1992,26307.561
REST_ANVENDELSE Øvrige brancher,1993,26674.712
REST_ANVENDELSE Øvrige brancher,1994,27459.036
REST_ANVENDELSE Øvrige brancher,1995,28831.398
REST_ANVENDELSE Øvrige brancher,1996,31820.675000000003
REST_ANVENDELSE Øvrige brancher,1997,35062.481
REST_ANVENDELSE Øvrige brancher,1998,40531.498
REST_ANVENDELSE Øvrige brancher,1999,43603.894
REST_ANVENDELSE Øvrige brancher,2000,43403.784
REST_ANVENDELSE Øvrige brancher,2001,47100.643
REST_ANVENDELSE Øvrige brancher,2002,49102.747
REST_ANVENDELSE Øvrige brancher,2003,49945.233
REST_ANVENDELSE Øvrige brancher,2004,52903.037000000004
REST_ANVENDELSE Øvrige brancher,2005,57584.424999999996
REST_ANVENDELSE Øvrige brancher,2006,60777.793
REST_ANVENDELSE Øvrige brancher,2007,63365.19500000001
REST_ANVENDELSE Øvrige brancher,2008,64274.978
REST_ANVENDELSE Øvrige brancher,2009,62755.406
REST_ANVENDELSE Øvrige brancher,2010,64721.15699999999
REST_ANVENDELSE Øvrige brancher,2011,65762.23999999999
REST_ANVENDELSE Øvrige brancher,2012,67520.908
REST_ANVENDELSE Øvrige brancher,2013,66277.648
REST_ANVENDELSE Øvrige brancher,2014,67349.376
REST_ANVENDELSE Øvrige brancher,2015,66591.943
REST_ANVENDELSE Øvrige brancher,2016,67875.332
REST_ANVENDELSE Øvrige brancher,2017,68743.475
REST_ANVENDELSE Øvrige brancher,2018,70388.353
REST_ANVENDELSE Øvrige brancher,2019,67902.071
REST_ANVENDELSE Øvrige brancher,2020,68741.773
REST_ANVENDELSE Øvrige brancher,2021,74766.404
REST_ANVENDELSE Øvrige brancher,2022,79403.775
