TILGANG1,TILGANG2,ANVENDELSE,PRISENHED,TID,INDHOLD
Import inkl. told,100010 Slagterier-(Tilgang),Eksport - (Anvendelse),Løbende priser,1980,43.26
Import inkl. told,100010 Slagterier-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1980,40.391
Import inkl. told,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1980,6.632
Import inkl. told,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1980,4.863
Dansk produktion,100010 Slagterier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1967,6862.242
Dansk produktion,100010 Slagterier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1967,7007.091
Dansk produktion,100010 Slagterier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1967,11.226
Dansk produktion,100010 Slagterier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1967,11.256
Dansk produktion,100010 Slagterier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1967,0.008
Dansk produktion,100010 Slagterier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1967,0.014
Dansk produktion,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1980,66.586
Dansk produktion,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1980,46.778
Dansk produktion,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,194.575
Dansk produktion,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,166.319
Dansk produktion,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1980,6206.829
Dansk produktion,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1980,5652.755
Dansk produktion,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1980,13.865
Dansk produktion,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1980,12.535
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1987,7011.063
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1987,8077.113
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1987,4.993
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1987,5.743
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1987,0.126
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1987,0.141
Dansk produktion,100010 Slagterier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1967,1329.054
Dansk produktion,100010 Slagterier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1967,1349.543
Dansk produktion,100010 Slagterier-(Tilgang),Eksport - (Anvendelse),Løbende priser,1967,3850.824
Dansk produktion,100010 Slagterier-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1967,3927.066
Dansk produktion,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1967,-197.249
Dansk produktion,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1967,-217.757
Dansk produktion,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1967,36.478
Dansk produktion,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1967,41.024
Dansk produktion,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1967,1003.15
Dansk produktion,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1967,1047.565
Dansk produktion,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1967,3.987
Dansk produktion,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1967,3.933
Import inkl. told,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,19.073
Import inkl. told,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,17.095
Import inkl. told,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1980,85.69
Import inkl. told,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1980,82.861
Import inkl. told,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1980,0.596
Import inkl. told,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1980,0.539
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1987,2235.475
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1987,2861.46
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Løbende priser,1987,2127.781
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1987,2336.364
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Løbende priser,1987,-215.139
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1987,-273.688
Import inkl. told,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1987,734.377
Import inkl. told,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1987,718.931
Import inkl. told,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1987,0.0
Import inkl. told,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1987,0.0
Import inkl. told,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1987,0.05
Import inkl. told,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1987,0.055
Import inkl. told,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1987,232.56
